open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_volume,taker_buy_quote_volume,ignore
2026-05-27 02:00:00+00:00,75877.44,75890.59,75764.0,75811.94,107.73892,1779848099999,8167696.55098110,23548,35.89347000,2721029.54600690,0
2026-05-27 02:15:00+00:00,75811.94,75830.78,75682.99,75769.82,123.42953,1779848999999,9350727.54957670,29109,50.89608000,3855463.77310620,0
2026-05-27 02:30:00+00:00,75769.82,75836.01,75705.14,75744.9,59.11094,1779849899999,4478005.95739430,20776,32.77437000,2482845.07384860,0
2026-05-27 02:45:00+00:00,75744.9,75879.31,75737.37,75879.0,146.97864,1779850799999,11146862.24353110,18139,87.65103000,6647219.68138310,0
2026-05-27 03:00:00+00:00,75879.01,75966.91,75840.26,75890.27,233.46571,1779851699999,17723665.42446460,24299,132.61150000,10066460.38612220,0
2026-05-27 03:15:00+00:00,75890.27,75890.27,75809.88,75844.88,60.17434,1779852599999,4564147.08665850,15968,30.91385000,2344875.70171040,0
2026-05-27 03:30:00+00:00,75844.89,75863.96,75737.36,75764.0,82.67586,1779853499999,6265412.02472520,18287,40.25904000,3050919.03233470,0
2026-05-27 03:45:00+00:00,75764.0,75773.9,75607.62,75683.0,236.53155,1779854399999,17901273.49249400,30957,80.40937000,6085853.67424290,0
2026-05-27 04:00:00+00:00,75683.0,75706.77,75630.0,75630.01,117.36637,1779855299999,8882387.13697860,20246,52.14372000,3946510.78879010,0
2026-05-27 04:15:00+00:00,75630.01,75630.01,75506.0,75509.15,247.11661,1779856199999,18670376.16223800,26612,49.76066000,3758927.51225410,0
2026-05-27 04:30:00+00:00,75509.15,75518.0,75310.9,75351.96,258.68173,1779857099999,19504383.41530790,53042,82.98970000,6254261.32231860,0
2026-05-27 04:45:00+00:00,75351.96,75603.51,75351.96,75579.01,193.88888,1779857999999,14648590.74874350,32776,132.56743000,10015348.50294190,0
2026-05-27 05:00:00+00:00,75579.01,75640.65,75579.0,75630.0,65.29673,1779858899999,4937651.82936630,27263,39.44481000,2982700.37941080,0
2026-05-27 05:15:00+00:00,75629.99,75713.63,75591.94,75655.0,207.93074,1779859799999,15732130.41272800,23006,80.53881000,6093686.75722740,0
2026-05-27 05:30:00+00:00,75655.0,75723.21,75586.0,75635.49,100.71143,1779860699999,7619400.64195580,21840,64.68321000,4893450.46294930,0
2026-05-27 05:45:00+00:00,75635.5,75739.36,75630.01,75697.99,116.62224,1779861599999,8828402.25563760,17693,40.41236000,3058586.30319540,0
2026-05-27 06:00:00+00:00,75697.99,75811.81,75697.99,75751.28,191.66325,1779862499999,14520503.85371910,21461,157.00066000,11894741.28175590,0
2026-05-27 06:15:00+00:00,75751.27,75751.27,75690.01,75744.56,76.30582,1779863399999,5777894.95931000,19895,30.12730000,2281263.31269910,0
2026-05-27 06:30:00+00:00,75744.56,75826.67,75709.39,75826.66,119.47583,1779864299999,9051924.94836790,22980,46.63116000,3533457.42872900,0
2026-05-27 06:45:00+00:00,75826.67,75900.0,75818.0,75838.65,95.42004,1779865199999,7238305.53945080,21834,47.60855000,3611129.43454290,0
2026-05-27 07:00:00+00:00,75838.65,75890.01,75771.3,75795.44,96.84312,1779866099999,7343990.95342990,24896,50.47234000,3827783.95909600,0
2026-05-27 07:15:00+00:00,75795.44,75872.12,75764.0,75863.83,79.33738,1779866999999,6016043.86891260,18672,42.20288000,3200315.26701910,0
2026-05-27 07:30:00+00:00,75863.84,75973.07,75858.23,75886.01,160.09941,1779867899999,12155562.45060280,22785,114.57573000,8699311.57919350,0
2026-05-27 07:45:00+00:00,75886.01,75980.0,75886.0,75977.17,97.64894,1779868799999,7415420.73718460,15148,68.45907000,5198979.04138170,0
2026-05-27 08:00:00+00:00,75977.16,76008.9,75900.0,75919.0,86.30894,1779869699999,6555654.05387690,21668,43.42883000,3298898.78688980,0
2026-05-27 08:15:00+00:00,75919.0,76071.41,75896.78,76048.53,68.83444,1779870599999,5229385.60004210,26497,32.49849000,2469014.74827440,0
2026-05-27 08:30:00+00:00,76048.53,76048.53,75956.89,75966.0,63.25713,1779871499999,4807388.79492550,19092,22.23238000,1689595.68502040,0
2026-05-27 08:45:00+00:00,75966.0,75986.01,75843.02,75873.24,90.37187,1779872399999,6861932.01533520,14582,32.62977000,2477616.23759500,0
2026-05-27 09:00:00+00:00,75873.25,75876.01,75739.17,75753.77,84.03178,1779873299999,6367739.73740710,19472,42.73026000,3237962.47607520,0
2026-05-27 09:15:00+00:00,75753.78,75849.27,75710.76,75814.47,61.96806,1779874199999,4697017.96006420,15674,43.99478000,3334791.30898080,0
2026-05-27 09:30:00+00:00,75814.48,75978.01,75811.0,75934.08,83.38763,1779875099999,6331658.60495810,20085,66.71748000,5066064.07356440,0
2026-05-27 09:45:00+00:00,75934.09,75940.91,75870.65,75912.6,64.87848,1779875999999,4924940.18276570,20606,38.89405000,2952436.33246940,0
2026-05-27 10:00:00+00:00,75912.61,75959.36,75883.36,75959.36,71.88538,1779876899999,5456269.89167530,19788,46.09660000,3498877.63611530,0
2026-05-27 10:15:00+00:00,75959.35,76043.94,75948.05,76000.01,68.19356,1779877799999,5182641.76755690,22721,44.02346000,3345694.66469250,0
2026-05-27 10:30:00+00:00,76000.0,76018.74,75880.0,75915.87,67.27327,1779878699999,5108130.85020020,26442,39.50485000,2999666.08435190,0
2026-05-27 10:45:00+00:00,75915.86,75952.24,75892.13,75909.82,165.2674,1779879599999,12547571.75327770,22855,135.10373000,10257424.28621770,0
2026-05-27 11:00:00+00:00,75909.82,76000.0,75885.71,75959.97,72.55005,1779880499999,5511399.90292850,25246,43.26510000,3286726.34109040,0
2026-05-27 11:15:00+00:00,75959.97,76029.24,75916.1,75916.11,98.07359,1779881399999,7451548.59964070,16911,36.34947000,2762122.64732640,0
2026-05-27 11:30:00+00:00,75916.11,75916.11,75800.0,75834.84,78.94877,1779882299999,5987831.29714580,21418,22.88774000,1735873.07492130,0
2026-05-27 11:45:00+00:00,75834.85,75834.85,75754.1,75769.18,66.4384,1779883199999,5034886.85197900,17694,25.57211000,1937794.91278360,0
2026-05-27 12:00:00+00:00,75769.18,75777.17,75602.66,75626.3,104.79863,1779884099999,7931092.44753910,29924,42.22474000,3195689.40148240,0
2026-05-27 12:15:00+00:00,75626.31,76174.15,75575.75,75942.94,324.36362,1779884999999,24607579.05895550,84209,175.01250000,13279655.80942980,0
2026-05-27 12:30:00+00:00,75942.93,75992.12,75826.48,75921.59,95.33143,1779885899999,7237754.68403950,34340,47.33573000,3593974.27226930,0
2026-05-27 12:45:00+00:00,75921.6,75921.6,75688.0,75688.0,96.74738,1779886799999,7330272.18753260,28261,29.12204000,2206669.94831280,0
2026-05-27 13:00:00+00:00,75688.01,75760.0,75397.0,75440.56,189.50909,1779887699999,14321898.79121800,54224,72.79972000,5500224.46325410,0
2026-05-27 13:15:00+00:00,75440.56,75485.02,75200.0,75200.01,261.57171,1779888599999,19700987.54481150,57772,89.30275000,6726368.92065740,0
2026-05-27 13:30:00+00:00,75200.01,75320.05,74868.99,74928.5,1023.16474,1779889499999,76788550.42970670,171469,305.22864000,22912122.42306600,0
2026-05-27 13:45:00+00:00,74928.51,75102.18,74866.18,75073.4,725.9913,1779890399999,54436575.74690240,101202,323.38331000,24249853.92209860,0
2026-05-27 14:00:00+00:00,75073.4,75274.11,74950.64,75002.57,496.66,1779891299999,37303668.91855960,85779,207.75998000,15607036.79985370,0
2026-05-27 14:15:00+00:00,75002.58,75172.87,74758.33,74875.96,480.00275,1779892199999,35966204.81620070,83398,165.60570000,12410284.51240870,0
2026-05-27 14:30:00+00:00,74875.96,75134.24,74781.64,75064.0,396.95992,1779893099999,29754826.80619570,73914,167.45883000,12554482.63371000,0
2026-05-27 14:45:00+00:00,75064.0,75155.32,75000.01,75031.92,193.57941,1779893999999,14532177.66797350,40626,79.85966000,5995470.64230190,0
2026-05-27 15:00:00+00:00,75031.92,75159.09,74983.77,75130.0,212.30195,1779894899999,15936505.18858750,48714,107.48078000,8068270.38517040,0
2026-05-27 15:15:00+00:00,75130.01,75399.88,75108.42,75352.89,216.34795,1779895799999,16285691.99309810,54880,133.49486000,10048445.31459310,0
2026-05-27 15:30:00+00:00,75352.89,75502.29,75166.54,75202.01,151.0976,1779896699999,11391526.65844490,51256,74.03694000,5582678.18116450,0
2026-05-27 15:45:00+00:00,75202.01,75429.26,75193.76,75326.01,217.7759,1779897599999,16399356.13226070,41815,135.27736000,10187530.95392730,0
2026-05-27 16:00:00+00:00,75326.02,75408.01,75200.56,75290.2,124.3106,1779898499999,9359206.82890570,37525,40.65432000,3061262.29951460,0
2026-05-27 16:15:00+00:00,75290.2,75304.01,75050.0,75098.01,173.78157,1779899399999,13056353.24969130,54113,68.51611000,5147016.61457100,0
2026-05-27 16:30:00+00:00,75098.0,75169.03,75000.0,75151.26,222.99154,1779900299999,16742495.10159890,47250,145.25051000,10905739.60308610,0
2026-05-27 16:45:00+00:00,75151.26,75324.78,75123.01,75304.01,111.40726,1779901199999,8381799.89220390,31058,65.40175000,4920556.33863880,0
2026-05-27 17:00:00+00:00,75304.01,75344.01,74960.72,74968.25,264.12325,1779902099999,19851146.40911630,56385,92.19206000,6931052.38034960,0
2026-05-27 17:15:00+00:00,74968.26,75083.49,74880.0,74997.29,245.17889,1779902999999,18377836.93545120,47377,86.13976000,6458662.55970770,0
2026-05-27 17:30:00+00:00,74997.3,75036.78,74857.19,74908.0,292.46192,1779903899999,21923063.74151060,50841,95.36436000,7148326.30492240,0
2026-05-27 17:45:00+00:00,74908.0,74975.81,74685.58,74860.42,302.22813,1779904799999,22628511.98143480,58658,102.51909000,7674079.24896020,0
2026-05-27 18:00:00+00:00,74860.42,74938.01,74663.45,74738.01,161.96579,1779905699999,12119538.10232500,64637,73.81479000,5523898.22687920,0
2026-05-27 18:15:00+00:00,74738.0,74926.86,74708.48,74903.5,148.76537,1779906599999,11132528.00289780,43916,90.08266000,6741271.15674960,0
2026-05-27 18:30:00+00:00,74903.49,74999.0,74886.51,74985.79,105.82907,1779907499999,7930359.68418190,28081,58.32378000,4370547.73522260,0
2026-05-27 18:45:00+00:00,74985.78,75032.01,74958.0,75026.67,132.69286,1779908399999,9950915.54210110,21583,94.14454000,7060037.97231990,0
2026-05-27 19:00:00+00:00,75026.67,75064.01,74972.4,75048.61,118.338,1779909299999,8877255.13954930,29873,59.00716000,4426550.02932540,0
2026-05-27 19:15:00+00:00,75048.6,75085.6,74982.08,75039.88,205.38979,1779910199999,15412405.64086430,28880,148.09052000,11112321.54147750,0
2026-05-27 19:30:00+00:00,75039.89,75105.17,74953.41,75012.27,425.06521,1779911099999,31896109.76875610,34547,169.69684000,12737015.50663110,0
2026-05-27 19:45:00+00:00,75012.27,75074.61,74952.36,75066.08,131.00897,1779911999999,9829571.35108960,26264,69.52468000,5216532.56126860,0
2026-05-27 20:00:00+00:00,75066.09,75312.71,75056.25,75309.33,132.80382,1779912899999,9985644.15323970,32128,80.14982000,6026574.66123680,0
2026-05-27 20:15:00+00:00,75309.32,75415.81,75273.96,75282.0,144.2657,1779913799999,10870298.68174980,25560,89.90625000,6775041.08746300,0
2026-05-27 20:30:00+00:00,75282.01,75294.63,75214.0,75252.0,73.03606,1779914699999,5496299.82053380,18162,40.01818000,3011588.99907080,0
2026-05-27 20:45:00+00:00,75252.01,75290.23,75241.97,75274.58,39.30918,1779915599999,2958910.87008060,9353,19.00172000,1430280.90484150,0
2026-05-27 21:00:00+00:00,75274.58,75274.58,75148.67,75167.16,64.48641,1779916499999,4848823.00147560,16320,24.49125000,1841528.95323260,0
2026-05-27 21:15:00+00:00,75167.16,75204.6,75100.0,75100.01,56.52966,1779917399999,4249446.54808010,12550,33.46958000,2516148.88534580,0
2026-05-27 21:30:00+00:00,75100.01,75100.01,74428.0,74628.0,281.87451,1779918299999,21060497.66845210,72819,83.98306000,6278106.58392690,0
2026-05-27 21:45:00+00:00,74628.01,74628.01,74341.76,74473.01,250.32913,1779919199999,18633799.01936120,94479,110.14877000,8199351.08084540,0
2026-05-27 22:00:00+00:00,74473.01,74775.5,74319.9,74402.67,224.28115,1779920099999,16713783.91539920,83149,102.01583000,7603626.95750620,0
2026-05-27 22:15:00+00:00,74402.67,74644.83,74260.91,74606.0,202.41179,1779920999999,15067946.13210480,45440,109.96478000,8188266.73731800,0
2026-05-27 22:30:00+00:00,74606.0,74664.97,74491.55,74633.6,110.00207,1779921899999,8206141.72343690,27330,53.58599000,3997424.52818900,0
2026-05-27 22:45:00+00:00,74632.02,74650.01,74418.12,74418.13,87.94606,1779922799999,6554797.31486500,23641,40.08526000,2987346.53245670,0
2026-05-27 23:00:00+00:00,74418.12,74473.09,74361.2,74455.14,123.5424,1779923699999,9195298.94855290,28646,83.22872000,6194641.11253070,0
2026-05-27 23:15:00+00:00,74455.15,74572.0,74243.99,74297.14,213.08673,1779924599999,15848809.58544420,45299,111.07768000,8261860.14061870,0
2026-05-27 23:30:00+00:00,74297.14,74400.01,74262.64,74377.66,344.56028,1779925499999,25619444.67964150,32868,200.72242000,14922981.95815620,0
2026-05-27 23:45:00+00:00,74377.66,74491.52,74312.95,74449.3,257.23992,1779926399999,19140106.04510370,24847,127.85188000,9513069.98616570,0
2026-05-28 00:00:00+00:00,74449.31,74580.0,74423.95,74431.7,193.84237,1779927299999,14438689.75396630,38831,99.47590000,7410337.14425960,0
2026-05-28 00:15:00+00:00,74431.7,74570.99,74366.89,74477.18,120.65981,1779928199999,8985473.42172030,39232,74.53592000,5550756.64884810,0
